Gender,Position,Employment status,Total_Salary
Male,XR Developer,Full-time employee,27000
Female,Testmanager,Full-time employee,120000
Male,Testautomation,Full-time employee,60000
Male,Test manager,Full-time employee,48400
Male,Technical project manager,Full-time employee,71000
Male,technical business analyst,Full-time employee,74000
Female,Tech recruiting,Full-time employee,41000
Male,Tech Lead,Full-time employee,84000
Male,Tech Lead,Full-time employee,100000
Male,Tech Lead,Full-time employee,150000
Male,Tech Lead,Full-time employee,211000
Male,Tech Lead,Full-time employee,91000
Male,Support Engineer,Full-time employee,127000
Female,Support engineer,Full-time employee,90000
Male,Staff Engineer,Full-time employee,88000
Male,SRE,Full-time employee,66122.13
Male,SRE,Full-time employee,85000
Male,SRE,Full-time employee,79000
Male,Solution Architect,Full-time employee,125000
Male,Solution Architect,Full-time employee,130000
Male,Solution Architect,Full-time employee,105000
Male,Solution Architect,Full-time employee,120000
Female,Software tester ,Part-time employee,95000
Male,Software Sales,Full-time employee,170000
Female,Software Engineer,Full-time employee,66000
Male,Software Engineer,Full-time employee,85000
Male,Software Engineer,Self-employed (freelancer),240000
Male,Software Engineer,Self-employed (freelancer),100101
Male,Software Engineer,Full-time employee,90000
Male,Software Engineer,Full-time employee,63101
Male,Software Engineer,Full-time employee,68500
Female,Software Engineer,Full-time employee,123200
Male,Software Engineer,Full-time employee,89000
Male,Software Engineer,Full-time employee,86000
Male,Software Engineer,Full-time employee,70000
Female,Software Engineer,Full-time employee,71500
Male,Software Engineer,Full-time employee,144000
Male,Software Engineer,Full-time employee,103000
Male,Software Engineer,Full-time employee,85000
Male,Software Engineer,Full-time employee,135000
Male,Software Engineer,Full-time employee,140000
Male,Software Engineer,Full-time employee,66000
Male,Software Engineer,Full-time employee,79000
Male,Software Engineer,Full-time employee,81500
Male,Software Engineer,Full-time employee,92000
Male,Software Engineer,Full-time employee,85000
Male,Software Engineer,Full-time employee,82500
Male,Software Engineer,Full-time employee,129000
Male,Software Engineer,Full-time employee,100000
Male,Software Engineer,Full-time employee,146000
Male,Software Engineer,Full-time employee,77101
Male,Software Engineer,Full-time employee,75000
Male,Software Engineer,Full-time employee,87500
Male,Software Engineer,Full-time employee,73300
Male,Software Engineer,Full-time employee,122000
Male,Software Engineer,Full-time employee,76000
Female,Software Engineer,Full-time employee,57200
Male,Software Engineer,Full-time employee,175000
Female,Software Engineer,Full-time employee,66000
Male,Software Engineer,Full-time employee,115000
Male,Software Engineer,Full-time employee,80000
Male,Software Engineer,Full-time employee,90000
Male,Software Engineer,Full-time employee,95000
Male,Software Engineer,Full-time employee,86000
Male,Software Engineer,Full-time employee,109810
Female,Software Engineer,Full-time employee,81000
Female,Software Engineer,Full-time employee,72000
Male,Software Engineer,Full-time employee,90000
Male,Software Engineer,Full-time employee,68000
Male,Software Engineer,Full-time employee,48000
Male,Software Engineer,Full-time employee,150000
Male,Software Engineer,Full-time employee,88000
Male,Software Engineer,Full-time employee,80000
Male,Software Engineer,Full-time employee,92000
Male,Software Engineer,Self-employed (freelancer),69000
Male,Software Engineer,Full-time employee,76000
Male,Software Engineer,Full-time employee,66000
Male,Software Engineer,Full-time employee,75000
Female,Software Engineer,Full-time employee,80000
Male,Software Engineer,Full-time employee,55000
Male,Software Engineer,Full-time employee,95000
Male,Software Engineer,Full-time employee,77000
Male,Software Engineer,Full-time employee,78500
Male,Software Engineer,Full-time employee,83500
Male,Software Engineer,Full-time employee,92000
Male,Software Engineer,Full-time employee,24000
Male,Software Engineer,Full-time employee,110000
Male,Software Engineer,Full-time employee,149000
Male,Software Engineer,Full-time employee,121100
Male,Software Engineer,Full-time employee,110000
Male,Software Engineer,Full-time employee,100800
Male,Software Engineer,Full-time employee,14712
Male,Software Engineer,Full-time employee,70000
Male,Software Engineer,Full-time employee,70500
Male,Software Engineer,Full-time employee,75000
Male,Software Engineer,Full-time employee,57600
Male,Software Engineer,Full-time employee,75000
Male,Software Engineer,Full-time employee,154300
Male,Software Engineer,Full-time employee,95000
Male,Software Engineer,Full-time employee,56000
Female,Software Engineer,Full-time employee,60000
Female,Software Engineer,Full-time employee,61000
Male,Software Engineer,Full-time employee,208000
Male,Software Engineer,Full-time employee,30000
Male,Software Engineer,Full-time employee,24640
Male,Software Engineer,Full-time employee,186000
Male,Software Engineer,Full-time employee,99000
Male,Software Engineer,Full-time employee,94000
Male,Software Engineer,Full-time employee,67300
Male,Software Engineer,Full-time employee,60000
Male,Software Engineer,Full-time employee,48000
Male,Software Engineer,Full-time employee,60000
Male,Software Engineer,Full-time employee,60000
Male,Software Engineer,Full-time employee,86000
Male,Software Engineer,Full-time employee,66000
Male,Software Engineer,Full-time employee,80000
Male,Software Engineer,Full-time employee,83000
